279627	>
257191	,
249177	the
238382	.
184837	--
125276	to
112449	of
104372	a
97778	and
94598	)
92022	(
86061	i
83493	in
74250	is
70493	:
69540	that
66842	@
61717	'ax
57438	it
52103	?
48605	''
47147	you
46288	for
40651	``
38002	<
35862	!
33811	this
33015	on
32807	not
32687	|
32426	have
32144	be
32110	are
29262	with
29220	#
28674	's
27824	$
27018	as
26558	n't
25432	;
25266	%
24624	or
24369	do
23774	if
23673	-
23603	was
22888	but
22773	they
22035	]
20724	[
18752	from
18739	&
18651	...
18560	by
17835	at
17605	can
16922	would
16872	what
16830	an
16539	there
16246	'
16213	my
15646	all
15362	we
15051	one
14976	will
14638	writes
14188	`
14154	about
14028	he
13105	has
12938	so
12671	your
12511	article
12291	no
11787	any
11457	me
11401	who
11236	some
10744	which
10252	out
10118	people
10089	were
9926	like
9809	just
9803	when
9742	does
9702	more
9671	*
9657	their
9533	1
8854	know
8805	other
8608	up
8528	them
8474	had
8400	get
8367	only
8350	how
8284	than
8001	been
7826	think
7764	x
7707	his
7460	2
7412	also
6904	did
6882	then
6729	could
6727	use
6674	m
6578	'm
6573	should
6533	time
6428	0
6353	these
5784	good
5740	because
5734	new
5637	even
5623	now
5560	am
5540	well
5490	may
5443	see
5316	into
5270	very
5106	those
5089	way
5072	why
5046	make
5014	much
4958	god
4919	many
4869	first
4828	3
4822	us
4815	say
4787	two
4725	most
4722	right
4717	such
4676	max
4620	here
4568	=
4554	our
4549	've
4385	/
4366	want
4341	where
4287	anyone
4283	+
4266	said
4258	system
4207	being
4185	its
4128	same
4081	used
4072	over
4066	after
4039	4
4018	go
3888	q
3792	need
3724	're
3720	work
3715	something
3706	too
3706	really
3677	ca
3622	since
3615	believe
3583	r
3573	5
3542	him
3535	please
3534	problem
3501	7
3494	still
3352	back
3285	going
3265	g
3245	before
3209	take
3194	find
3180	might
3164	government
3137	off
3129	point
3128	'd
3109	better
3107	using
3104	information
3079	'll
3041	both
3029	things
3023	never
3009	years
3008	last
3003	while
2988	p
2975	thanks
2967	own
2873	must
2864	sure
2858	6
2840	without
2803	got
2798	another
2795	made
2794	someone
2787	question
2763	year
2754	read
2746	number
2732	through
2725	\
2713	file
2690	help
2668	c
2666	between
2665	thing
2663	let
2624	university
2602	o
2581	windows
2568	down
2561	under
2560	8
2559	look
2559	fact
2537	world
2528	come
2524	n
2508	few
2502	available
2501	program
2491	part
2460	anything
2421	however
2421	drive
2413	each
2413	data
2408	around
2392	little
2378	etc
2375	against
2356	case
2351	b
2346	again
2338	give
2333	seems
2330	every
2318	different
2285	probably
2273	long
2251	power
